IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.72,prometheus-old.trabalho_vulnnet,,,2.6,Low,80,"Mitigation","TCP Timestamps Information Disclosure","The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 2357571000
Packet 2: 2357572080
",1.3.6.1.4.1.25623.1.0.80091,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:00:08Z,eaca6ff3-7a07-496a-9fa7-b6ee0df11639,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.","TCP implementations that implement RFC1323/RFC7323.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
","","","",""
172.31.1.72,prometheus-old.trabalho_vulnnet,,,2.1,Low,80,"Mitigation","ICMP Timestamp Reply Information Disclosure","The remote host responded to an ICMP timestamp request.","The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,"CVE-1999-0524",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:00:08Z,0b052371-95db-43a0-949f-9dff16f1212f,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)","","The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2025-01-21T05:37:33Z
","","","DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",""
172.31.1.72,prometheus-old.trabalho_vulnnet,,,0.0,Log,70,"","IP Forwarding Enabled - Active Check","Checks if the remote host has IP forwarding enabled.","It was possible to route a TCP packet through the target host and received an answer which means IP forwarding is enabled.
",1.3.6.1.4.1.25623.1.0.147205,"CVE-1999-0511",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:00:08Z,ffa945c2-75ea-4ac5-9b0c-3b49e252b8df,"","","","","Sends a crafted Local Link Layer (LLL) frame and checks the
  response.
Details:
IP Forwarding Enabled - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.147205)
Version used: 2021-12-03T08:27:06Z
","","","",""
172.31.1.72,prometheus-old.trabalho_vulnnet,,,0.0,Log,80,"","Traceroute","Collect information about the network route and
  network distance between the scanner host and the target host.","Network route from scanner (172.30.0.2) to target (172.31.1.72):

172.30.0.2
172.31.1.72

Network distance between scanner and target: 2
",1.3.6.1.4.1.25623.1.0.51662,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:00:08Z,3d3ee80e-395e-47e4-8d3a-10ceac0a8c55,"","","","For internal networks, the distances are usually
  small, often less than 4 hosts between scanner and target. For public targets the
  distance is greater and might be 10 hosts or more.","A combination of the protocols ICMP and TCP is used
  to determine the route. This method is applicable for IPv4 only and it is also known as
  'traceroute'.
Details:
Traceroute
(OID: 1.3.6.1.4.1.25623.1.0.51662)
Version used: 2022-10-17T11:13:19Z
","","","",""
172.31.1.72,prometheus-old.trabalho_vulnnet,9090,tcp,0.0,Log,80,"","HTTP Security Headers Detection","All known security headers are being checked on the remote web
  server.

  On completion a report will hand back whether a specific security header has been implemented
  (including its value and if it is deprecated) or is missing on the target.","Missing Headers                   | More Information
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Content-Security-Policy           | https://owasp.org/www-project-secure-headers/#content-security-policy
Cross-Origin-Embedder-Policy      | https://scotthelme.co.uk/coop-and-coep/, Note: This is an upcoming header
Cross-Origin-Opener-Policy        | https://scotthelme.co.uk/coop-and-coep/, Note: This is an upcoming header
Cross-Origin-Resource-Policy      | https://scotthelme.co.uk/coop-and-coep/, Note: This is an upcoming header
Document-Policy                   | https://w3c.github.io/webappsec-feature-policy/document-policy#document-policy-http-header
Feature-Policy                    | https://owasp.org/www-project-secure-headers/#feature-policy, Note: The Feature Policy header has been renamed to Permissions Policy
Permissions-Policy                | https://w3c.github.io/webappsec-feature-policy/#permissions-policy-http-header-field
Referrer-Policy                   | https://owasp.org/www-project-secure-headers/#referrer-policy
Sec-Fetch-Dest                    | https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers#fetch_metadata_request_headers, Note: This is a new header supported only in newer browsers like e.g. Firefox 90
Sec-Fetch-Mode                    | https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers#fetch_metadata_request_headers, Note: This is a new header supported only in newer browsers like e.g. Firefox 90
Sec-Fetch-Site                    | https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers#fetch_metadata_request_headers, Note: This is a new header supported only in newer browsers like e.g. Firefox 90
Sec-Fetch-User                    | https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers#fetch_metadata_request_headers, Note: This is a new header supported only in newer browsers like e.g. Firefox 90
X-Content-Type-Options            | https://owasp.org/www-project-secure-headers/#x-content-type-options
X-Frame-Options                   | https://owasp.org/www-project-secure-headers/#x-frame-options
X-Permitted-Cross-Domain-Policies | https://owasp.org/www-project-secure-headers/#x-permitted-cross-domain-policies
X-XSS-Protection                  | https://owasp.org/www-project-secure-headers/#x-xss-protection, Note: Most major browsers have dropped / deprecated support for this header in 2020.
",1.3.6.1.4.1.25623.1.0.112081,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:00:08Z,263ebfdd-4b90-4ad4-b693-9ae68074136b,"","","","","
Details:
HTTP Security Headers Detection
(OID: 1.3.6.1.4.1.25623.1.0.112081)
Version used: 2025-03-21T15:40:43Z
","","","",""
172.31.1.72,prometheus-old.trabalho_vulnnet,9090,tcp,0.0,Log,80,"","Web Application Scanning Consolidation / Info Reporting","The script consolidates and reports various information for web
  application (formerly called 'CGI') scanning.

  This information is based on the following scripts / settings:

  - HTTP-Version Detection (OID: 1.3.6.1.4.1.25623.1.0.100034)

  - No 404 check (OID: 1.3.6.1.4.1.25623.1.0.10386)

  - Web mirroring / webmirror.nasl (OID: 1.3.6.1.4.1.25623.1.0.10662)

  - Directory Scanner / DDI_Directory_Scanner.nasl (OID: 1.3.6.1.4.1.25623.1.0.11032)

  - The configured 'cgi_path' within the 'Scanner Preferences' of the scan config in use

  - The configured 'Enable CGI scanning', 'Enable generic web application scanning' and
  'Add historic /scripts and /cgi-bin to directories for CGI scanning' within the
  'Global variable settings' of the scan config in use

  If you think any of this information is wrong please report it to the referenced community
  forum.","The Hostname/IP ""prometheus-old.trabalho_vulnnet"" was used to access the remote host.

Generic web application scanning is disabled for this host via the ""Enable generic web application scanning"" option within the ""Global variable settings"" of the scan config in use.

Requests to this service are done via HTTP/1.1.

This service seems to be able to host PHP scripts.

This service seems to be able to host ASP scripts.

The User-Agent ""Mozilla/5.0 [en] (X11, U; OpenVAS-VT <version replaced>)"" was used to access the remote host.

Historic /scripts and /cgi-bin are not added to the directories used for web application scanning. You can enable this again with the ""Add historic /scripts and /cgi-bin to directories for CGI scanning"" option within the ""Global variable settings"" of the scan config in use.

The following directories were used for web application scanning:

http://prometheus-old.trabalho_vulnnet:9090/
http://prometheus-old.trabalho_vulnnet:9090/new
http://prometheus-old.trabalho_vulnnet:9090/static
http://prometheus-old.trabalho_vulnnet:9090/static/static
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/bootstrap3-typeahead
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/bootstrap3-typeahead/bootstrap3-typeahead
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/eonasdan-bootstrap-datetimepicker
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/eonasdan-bootstrap-datetimepicker/eonasdan-bootstrap-datetimepicker
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/fuzzy
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/fuzzy/fuzzy
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/moment
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/moment/moment
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/mustache
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/mustache/mustache
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/rickshaw
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/rickshaw/rickshaw
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/rickshaw/vendor
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/rickshaw/vendor/vendor

While this is not, in and of itself, a bug, you should manually inspect these directories to ensure that they are in compliance with company security standards

The following directories were excluded from web application scanning because the ""Regex pattern to exclude directories from CGI scanning"" setting of the VT ""Global variable settings"" (OID: 1.3.6.1.4.1.25623.1.0.12288) for this scan was: ""/(index\.php|image|img|css|js$|js/|javascript|style|theme|icon|jquery|graphic|grafik|picture|bilder|thumbnail|media/|skins?/)""

http://prometheus-old.trabalho_vulnnet:9090/new/static/css
http://prometheus-old.trabalho_vulnnet:9090/new/static/js
http://prometheus-old.trabalho_vulnnet:9090/static/css
http://prometheus-old.trabalho_vulnnet:9090/static/img
http://prometheus-old.trabalho_vulnnet:9090/static/js
http://prometheus-old.trabalho_vulnnet:9090/static/js/graph
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/bootstrap-4.3.1/css
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/bootstrap-4.3.1/js
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/bootstrap4-glyphicons/css
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/js

The following CGIs were discovered:

Syntax : cginame (arguments [default value])

http://prometheus-old.trabalho_vulnnet:9090/static/ (/static/?/ [] )
http://prometheus-old.trabalho_vulnnet:9090/static/img/favicon.ico (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )

The following cgi scripts were excluded from web application scanning because of the ""Regex pattern to exclude cgi scripts"" setting of the VT ""Web mirroring"" (OID: 1.3.6.1.4.1.25623.1.0.10662) for this scan was: ""\.(js|css)$""

Syntax : cginame (arguments [default value])

http://prometheus-old.trabalho_vulnnet:9090/static/css/alerts.css (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/css/config.css (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/css/graph.css (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/css/prometheus.css (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/css/rules.css (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/css/targets.css (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/js/alerts.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/js/config.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/js/graph/index.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/js/targets.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/bootstrap-4.3.1/css/bootstrap.min.css (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/bootstrap-4.3.1/js/bootstrap.min.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/bootstrap3-typeahead/bootstrap3-typeahead.min.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/bootstrap4-glyphicons/css/bootstrap-glyphicons.min.css (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/eonasdan-bootstrap-datetimepicker/bootstrap-datetimepicker.min.css (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/eonasdan-bootstrap-datetimepicker/bootstrap-datetimepicker.min.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/fuzzy/fuzzy.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/js/jquery-3.3.1.min.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/js/jquery.selection.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/js/popper.min.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/moment/moment-timezone-with-data.min.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/moment/moment.min.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/mustache/mustache.min.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/rickshaw/rickshaw.min.css (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/rickshaw/rickshaw.min.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/rickshaw/vendor/d3.layout.min.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
http://prometheus-old.trabalho_vulnnet:9090/static/vendor/rickshaw/vendor/d3.v3.js (v [d9613e5c466c6e9de548c4dae1b9aabf9aaf7c57] )
",1.3.6.1.4.1.25623.1.0.111038,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:00:08Z,4316d9a9-11bb-4cce-aa73-e6a2dc545423,"","","","","
Details:
Web Application Scanning Consolidation / Info Reporting
(OID: 1.3.6.1.4.1.25623.1.0.111038)
Version used: 2026-01-13T05:47:36Z
","","","",""
172.31.1.72,prometheus-old.trabalho_vulnnet,9090,tcp,0.0,Log,70,"","Allowed HTTP Methods Enumeration","Enumerates which HTTP methods are allowed.","The following list contains the URLs and corresponding supported HTTP methods.

URL                                          | HTTP Methods
----------------------------------------------------------------------------------------------
http://prometheus-old.trabalho_vulnnet:9090/ | GET, OPTIONS (obtained via HTTP OPTIONS method)
",1.3.6.1.4.1.25623.1.0.153974,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:00:08Z,0aa35f27-d886-4d60-ace0-f8b031f3fff3,"","","","'- Basic HTTP methods: GET, HEAD, POST, PUT, DELETE, CONNECT,
  OPTIONS, TRACE

  - Extended HTTP methods: ACL, BASELINE-CONTROL, BIND, CHECKIN, CHECKOUT, COPY, LABEL, LINK, LOCK,
  MERGE, MKACTIVITY, MKCALENDAR, MKCOL, MKREDIRECTREF, MKWORKSPACE, MOVE, ORDERPATCH, PATCH, PRI,
  PROPFIND, PROPPATCH, REBIND, REPORT, SEARCH, UNBIND, UNCHECKOUT, UNLINK, UNLOCK, UPDATE,
  UPDATEREDIRECTREF, VERSION-CONTROL","Sends multiple HTTP requests and checks the responses.

  Disclaimer:

  - This enumeration script is provided 'as is' (means no support is given) and only providing
  rudimentary information about the possible enabled methods

  - This script doesn't guarantee completeness or full reliability

  For more reliable determination of the enabled HTTP methods please inspect the configuration of
  the web server manually and directly on the target host.
Details:
Allowed HTTP Methods Enumeration
(OID: 1.3.6.1.4.1.25623.1.0.153974)
Version used: 2025-02-28T05:38:49Z
","","","",""
172.31.1.72,prometheus-old.trabalho_vulnnet,,,0.0,Log,80,"","CPE Inventory","This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE.","172.31.1.72|cpe:/o:linux:kernel

",1.3.6.1.4.1.25623.1.0.810002,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:00:08Z,bff1d541-fa57-4f38-9a53-a0ef0f459961,"","","","","
Details:
CPE Inventory
(OID: 1.3.6.1.4.1.25623.1.0.810002)
Version used: 2022-07-27T10:11:28Z
","","","",""
172.31.1.72,prometheus-old.trabalho_vulnnet,9090,tcp,0.0,Log,80,"","Services","This plugin performs service detection.","A web server is running on this port
",1.3.6.1.4.1.25623.1.0.10330,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:00:08Z,0f4ef980-08ab-417a-ade5-fca26da45780,"","","","This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.","
Details:
Services
(OID: 1.3.6.1.4.1.25623.1.0.10330)
Version used: 2025-03-05T05:38:53Z
","","","",""
172.31.1.72,prometheus-old.trabalho_vulnnet,,,0.0,Log,80,"","Hostname Determination Reporting","The script reports information on how the hostname of the target
  was determined.","Hostname determination for IP 172.31.1.72:

Hostname|Source
prometheus-old.trabalho_vulnnet|Reverse-DNS
",1.3.6.1.4.1.25623.1.0.108449,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T07:00:08Z,6feb217c-9895-412a-af6b-eaaba4fe1cea,"","","","","
Details:
Hostname Determination Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108449)
Version used: 2022-07-27T10:11:28Z
","","","",""
